2016-07-11 10:29:00,789,¼ÇÂ¼Êý£º7369Ìõ
2016-07-11 10:29:22,499,(changesave|836610901,WFTS.Bool.Rd.b0.016,1):(ok)
2016-07-11 10:29:22,813,(changesave|836610901,WFTS.Bool.Rd.b0.804,1):(ok)
2016-07-11 10:29:22,829,(changesave|836610901,WFTS.Bool.Rd.b0.669,1):(ok)
2016-07-11 10:29:22,829,(changesave|836610901,WFTS.Bool.Rd.b0.282,1):(ok)
2016-07-11 10:29:22,844,(changesave|836610901,WFTS.Bool.Rd.b0.537,1):(ok)
2016-07-11 10:29:22,844,(changesave|836610901,WFTS.Bool.Rd.b0.017,1):(ok)
2016-07-11 10:29:23,157,(changesave|836610901,WFTS.Bool.Rd.b0.805,1):(ok)
2016-07-11 10:29:23,188,(changesave|836610901,WFTS.Bool.Rd.b0.283,1):(ok)
2016-07-11 10:29:23,188,(changesave|836610901,WFTS.Bool.Rd.b0.538,1):(ok)
2016-07-11 10:29:23,188,(changesave|836610901,WFTS.Bool.Rd.b0.670,1):(ok)
2016-07-11 10:29:23,188,(changesave|836610901,WFTS.Bool.Rd.b0.018,1):(ok)
2016-07-11 10:29:23,494,(changesave|836610901,WFTS.Bool.Rd.b0.806,1):(ok)
2016-07-11 10:29:23,533,(changesave|836610901,WFTS.Bool.Rd.b0.671,1):(ok)
2016-07-11 10:29:23,534,(changesave|836610901,WFTS.Bool.Rd.b0.284,1):(ok)
2016-07-11 10:29:23,534,(changesave|836610901,WFTS.Bool.Rd.b0.539,1):(ok)
2016-07-11 10:29:23,536,(changesave|836610901,WFTS.Bool.Rd.b0.019,1):(ok)
2016-07-11 10:29:23,838,(changesave|836610901,WFTS.Bool.Rd.b0.807,1):(ok)
2016-07-11 10:29:23,885,(changesave|836610901,WFTS.Bool.Rd.b0.540,1):(ok)
2016-07-11 10:29:23,885,(changesave|836610901,WFTS.Bool.Rd.b0.285,1):(ok)
2016-07-11 10:29:23,885,(changesave|836610901,WFTS.Bool.Rd.b0.020,1):(ok)
2016-07-11 10:29:23,885,(changesave|836610901,WFTS.Bool.Rd.b0.672,1):(ok)
2016-07-11 10:29:24,198,(changesave|836610901,WFTS.Bool.Rd.b0.808,1):(ok)
2016-07-11 10:29:24,244,(changesave|836610901,WFTS.Bool.Rd.b0.022,1):(ok)
2016-07-11 10:29:24,244,(changesave|836610901,WFTS.Bool.Rd.b0.673,1):(ok)
2016-07-11 10:29:24,260,(changesave|836610901,WFTS.Bool.Rd.b0.541,1):(ok)
2016-07-11 10:29:24,260,(changesave|836610901,WFTS.Bool.Rd.b0.286,1):(ok)
2016-07-11 10:29:24,551,(changesave|836610901,WFTS.Bool.Rd.b0.809,1):(ok)
2016-07-11 10:29:24,598,(changesave|836610901,WFTS.Bool.Rd.b0.023,1):(ok)
2016-07-11 10:29:24,614,(changesave|836610901,WFTS.Bool.Rd.b0.542,1):(ok)
2016-07-11 10:29:24,614,(changesave|836610901,WFTS.Bool.Rd.b0.674,1):(ok)
2016-07-11 10:29:24,614,(changesave|836610901,WFTS.Bool.Rd.b0.287,1):(ok)
2016-07-11 10:29:24,901,(changesave|836610901,WFTS.Bool.Rd.b0.810,1):(ok)
2016-07-11 10:29:24,948,(changesave|836610901,WFTS.Bool.Rd.b0.026,1):(ok)
2016-07-11 10:29:24,964,(changesave|836610901,WFTS.Bool.Rd.b0.288,1):(ok)
2016-07-11 10:29:24,964,(changesave|836610901,WFTS.Bool.Rd.b0.543,1):(ok)
2016-07-11 10:29:24,964,(changesave|836610901,WFTS.Bool.Rd.b0.675,1):(ok)
2016-07-11 10:29:25,261,(changesave|836610901,WFTS.Bool.Rd.b0.811,1):(ok)
2016-07-11 10:29:25,292,(changesave|836610901,WFTS.Bool.Rd.b0.027,1):(ok)
2016-07-11 10:29:25,323,(changesave|836610901,WFTS.Bool.Rd.b0.292,1):(ok)
2016-07-11 10:29:25,323,(changesave|836610901,WFTS.Bool.Rd.b0.544,1):(ok)
2016-07-11 10:29:25,323,(changesave|836610901,WFTS.Bool.Rd.b0.676,1):(ok)
2016-07-11 10:29:25,621,(changesave|836610901,WFTS.Bool.Rd.b0.812,1):(ok)
2016-07-11 10:29:25,637,(changesave|836610901,WFTS.Bool.Rd.b0.028,1):(ok)
2016-07-11 10:29:25,684,(changesave|836610901,WFTS.Bool.Rd.b0.545,1):(ok)
2016-07-11 10:29:25,684,(changesave|836610901,WFTS.Bool.Rd.b0.677,1):(ok)
2016-07-11 10:29:25,684,(changesave|836610901,WFTS.Bool.Rd.b0.293,1):(ok)
2016-07-11 10:29:25,965,(changesave|836610901,WFTS.Bool.Rd.b0.813,1):(ok)
2016-07-11 10:29:25,980,(changesave|836610901,WFTS.Bool.Rd.b0.037,1):(ok)
2016-07-11 10:29:26,043,(changesave|836610901,WFTS.Bool.Rd.b0.546,1):(ok)
2016-07-11 10:29:26,043,(changesave|836610901,WFTS.Bool.Rd.b0.678,1):(ok)
2016-07-11 10:29:26,043,(changesave|836610901,WFTS.Bool.Rd.b0.294,1):(ok)
2016-07-11 10:29:26,309,(changesave|836610901,WFTS.Bool.Rd.b0.814,1):(ok)
2016-07-11 10:29:26,324,(changesave|836610901,WFTS.Bool.Rd.b0.038,1):(ok)
2016-07-11 10:29:26,387,(changesave|836610901,WFTS.Bool.Rd.b0.679,1):(ok)
2016-07-11 10:29:26,387,(changesave|836610901,WFTS.Bool.Rd.b0.547,1):(ok)
2016-07-11 10:29:26,387,(changesave|836610901,WFTS.Bool.Rd.b0.295,1):(ok)
2016-07-11 10:29:26,664,(changesave|836610901,WFTS.Bool.Rd.b0.815,1):(ok)
2016-07-11 10:29:26,680,(changesave|836610901,WFTS.Bool.Rd.b0.039,1):(ok)
2016-07-11 10:29:26,758,(changesave|836610901,WFTS.Bool.Rd.b0.548,1):(ok)
2016-07-11 10:29:26,758,(changesave|836610901,WFTS.Bool.Rd.b0.680,1):(ok)
2016-07-11 10:29:26,758,(changesave|836610901,WFTS.Bool.Rd.b0.296,1):(ok)
2016-07-11 10:29:27,008,(changesave|836610901,WFTS.Bool.Rd.b0.816,1):(ok)
2016-07-11 10:29:27,023,(changesave|836610901,WFTS.Bool.Rd.b0.040,1):(ok)
2016-07-11 10:29:27,117,(changesave|836610901,WFTS.Bool.Rd.b0.681,1):(ok)
2016-07-11 10:29:27,117,(changesave|836610901,WFTS.Bool.Rd.b0.297,1):(ok)
